id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,examDots,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
10771,5,1,"已知a=1,b=2,观察下列程序,运行结果是?( )",6,5,4,3,A,"+=为加法赋值运算符,a += b+3相当于a=a+b+3,根据题意,a的运算结果为6.","9,",3,0,0,赋值运算符,0,0
10772,4,1,"print(8/4 == 8.0//4),请问输出结果是?( )",2,2.0,False,True,D,输出为布尔型True 因为==两边运算结果都是2.0,"9,",3,0,0,"比较运算符,运算符的优先级",0,0
10773,4,1,"利用turtle库画图时,画笔默认的起始位置在画布的坐标点是?( )","(0,0)","(100,0)","(0,100)","(100,100)",A,"利用turtle库画图时,画笔也就就是小海龟默认的起始位置在画布的中心点(0,0),故本题答案为A.","9,",1,0,0,turtle库的画笔体系,0,0
10774,4,1,Python计算100/2的结果是?( ),50.0,50,50.00,200,A,"Python语言中算术运算符/用来表示除号,如果能够除尽,系统会自动保留以为小数,100/2=50.0,所以正确答案为A.","9,",2,0,0,运算符的运算,0,0
10775,4,1,如何设置turtle画笔的颜色为红色?( ),turtle.color(red),"turtle.pencolor(""red"")","turtle.fillcolor(""red"")","turtle.bgcolor(""red"")",B,"要设置 turtle 画笔的颜色为红色,应该使用 pencolor 方法.因此,正确答案是: B A. turtle.color(red): 这个方法在某些情境下也可以用来设置画笔的颜色,但是它却忘记加引号了,所以是错误的. B. turtle.pencolor(""red""): 这个方法专门用于设置画笔的颜色.调用 turtle.pencolor(""red"") 会将画笔颜色设置为红色. C. turtle.fillcolor(""red""): 这个方法用于设置填充颜色,而不是画笔颜色.它在你打算使用 turtle.begin_fill() 和 turtle.end_fill() 进行图形填充时非常有用. D. turtle.bgcolor(""red""): 这个方法用于设置 turtle 绘图窗口的背景颜色,而不是画笔颜色.","9,",1,0,0,turtle库的画笔体系,0,0
10776,4,1,"如果 a=6 , b=2 ,则表达式 a%b==0 的结果是?( )",True,False,6,2,A,"在 Python 中, % 用于返回两数相除的余数. 给定: a = 6 b = 2 表达式 a % b 表示 a 除以 b 的余数.将值代入得: 6 % 2 = 0 (因为 6 除以 2 余数为 0 ) 接下来,我们有表达式 a % b == 0 ,这实际上是一个布尔表达式,用于检查 a % b 的结果是否等于 0 . 代入已知的值,我们得到: 6 % 2 == 0 即 0 == 0 这是一个真命题,因此结果为 True . 所以,正确答案是 A .","9,",3,0,0,"算术运算符,比较运算符",0,0
10777,4,1,"在下面代码中的横线处填写哪个选项的内容,执行代码后可以输入一个数字,然后计算并打印这个数字加 5 的和?( ) a = ________ b = 5 print(a + b)",int(),input(),int(input()),input(int()),C,"通过input()输入的值都是字符串类型的,不能直接和整数类型的数字相加,要用int()将输入的数字转换为整数类型.答案为C.","9,",3,0,0,"input方法,运算符的运算",0,0
10778,4,1,"下列哪个选项可以将 Turtle 窗口的大小设置为宽 400 像素,高 300 像素,将窗口的初始位置设置为距离屏幕左边缘 200 像素,距离屏幕上边缘 100 像素?( )","turtle.setup(200,100,400,300)","turtle.setup(400,300,200,100)","turtle.setup(400,200,300,100)","turtle.setup(200,400,100,300)",B,"使用Turtle中的setup()设置窗口的大小和初始位置时,第一个参数表示窗口的宽,第二个参数表示窗口的高,第三个参数表示窗口最左侧距离屏幕左边缘的距离,第四个参数表示窗口最上侧距离屏幕上边缘的距离.按题干描述,setup()中的参数顺序应为400,300,200和100,答案为B.","9,",4,0,0,turtle库的画笔体系,0,0
10779,4,1,"执行代码 print(27 and 56) ,打印结果为?( )",True,False,27,56,D,"在Python中,非0的数字被当做布尔值使用时,表示True.当""and""左侧为False或0时,表达式的结果也为False或0;当""and""左侧为True或非0数字时,表达式的结果和""and""右侧部分的结果一致,右侧部分是数字时,表达式结果也为数字.答案为D.","9,",2,0,0,"print方法,逻辑运算符",0,0
10780,5,1,"使用 Python 画笔绘制如下图所示的图,第 3 行的代码应该如何补充?( ) import turtle turtle.forward(100) # 第 3 行代码 turtle.forward(100)",turtle.left(),turtle.right(90),turtle.left(90),turtle.left(180),C,"turtle 默认朝着屏幕的右边,现在方向朝上,说明左转了 90 度,选择 turtle.left(90)","9,",2,0,0,turtle库的画笔体系,0,0
10781,4,1,下列哪个选项的运算优先级最高?( ),==,+,and,*,D,优先级排序:算术 (*) > 算术 (+) > 比较( == ) > 逻辑( and ),"9,",2,0,0,运算符的优先级,0,0
10782,4,1,"下面描述中,符合 Python 语言特点的是?( )",Python 是一门面向过程的高级语言,Python程序可以用标准Scratch软件打开,Python是一门面向对象的高级语言,Python仅支持windows操作系统,C,"Python 是一门面向对象的高级语言,而不是面向过程. Python 程序不能用标准Scratch软件打开. Python 不仅支持 Windows 操作系统,还支持多种操作系统,包括 Linux 和 macOS.","9,",2,0,0,编程环境,0,0
10783,5,1,"以下代码绘制出的图形是下面哪一个?( ) import turtle turtle.circle(-50,90) turtle.circle(50,-90)",,,,,C,"circle() 的第一个参数为半径,第二个参数为弧度.半径为正数,圆心在画笔左边;半径为负数,圆心在画笔右边.弧度为正数,顺画笔当前方向绘制;弧度为负数,逆画笔当前方向绘制,综上,选 C .","9,",3,0,0,turtle库的画笔体系,0,0
10784,4,1,运行程序 print(4<=3 or 6 and 3<18) 的结果是?( ),6,True,False,报错,B,"此题考查运算优先级以及逻辑运算符的返回值,比较运算符的优先级高于逻辑运算符,所以先比较大小,然后进行逻辑判断,答案为 B .","9,",3,0,0,逻辑运算符,0,0
10785,4,1,以下可以作为 Python 变量名称的是?( ),2a,as,a2,(a2),C,"Python 变量名只能包含字母,数字和下划线.变量名可以字母或下划线开头,但不能以数字开头.同时也不能使用 Python 中的保留字符, as 是保留字符,故答案选 C .","9,",2,0,0,变量及变量名,0,0
10786,4,3,turtle 画布的坐标系原点是在画布的左上角.( ),,,,,0,"本题考察的是 turtle 的坐标系, tutle 画布的坐标系原点是在画布的中心.","9,",,0,0,,0,0
10787,4,3,"Python 变量名区分大小写, book 和 BOOK 不是同一个变量.( )",,,,,1,"本题考察的 Python 变量命名规范,在 Python 中变量名是区分大小写的, book 和 BOOK 就是两个不同的变量.","9,",,0,0,,0,0
10788,4,3,"Python 只能处理数值数据,不能处理文字,图形和音视频等数据.( )",,,,,0,"Python 能处理得远不只数值数据,还可以是文字,图形,音频,视频, 网页等各种各样的数据,不同的数据,需要定义不同的数据类型.","9,",,0,0,,0,0
10789,4,3,"在 Python Shell 中输入 print(""3""*3) 语句并运行,运行结果为 9 .( )",,,,,0,"""3""*3 是将 3 个 ""3"" 连接在一起,输出结果应为 333 .","9,",,0,0,,0,0
10790,4,3,"在 turtle.shape() 指令中,括号可以填写很多英文单词,不断改变小海龟的样子,例如 Dog .( )",,,,,0,"turtle.shape() 填入的必须是形状库中的, Dog 非形状库中的值.","9,",,0,0,,0,0
10791,4,3,"print(type(""6.78"")), 输出结果是 6.78 .( )",,,,,0,输出为字符类型,"9,",,0,0,,0,0
10792,4,3,Python3.x 不完全兼容 Python2.x 编写的程序.( ),,,,,1,"Python3 和 Python2 扩展名相同,并且是可以互相打开的. 但是 Python3 和 Python2 并不完全兼容,所以程序不一定能运行.因此,本题答案为正确.","9,",,0,0,,0,0
10793,5,3,"在 Python 中,该语句的内容会被 Python 解释器执行.( )",,,,,0,"在 Python 中, # 用来表示注释,其中的内容不会被 Python 解释器执行,因此该题错误","9,",,0,0,,0,0
10794,4,3,"有一段 Python 代码,共两行.第一行是 print(a) ,第二行是 a ='Python' , 那么执行这段代码会打印出 Python .( )",,,,,0,"Python 程序是顺序执行的,应先给变量 a 赋值 'Python' ,再打印 a .题目中的说法是错误的.","9,",,0,0,,0,0
10795,4,3,Python 中 * 一定代表乘.( ),,,,,0,"Python 中 * 不一定代表乘,比如两个 ** 代表幂运算.还有如果 * 是在引号里面引用, 代表的是 * 字符串本身.","9,",,0,0,,0,0
10796,4,4,"小明几天前在文具店购买了几支铅笔,已知当时的价格为 5 元 / 支,小明买完铅笔之后,剩余 3 元,但是现在文具店搞促销活动,铅笔价格为 4 元 / 支,请问根据小明之前购买的铅笔数量,按照促销价格买的话,最多可以购买几支,剩余多少钱? 要求: ( 1 )程序开始运行后,提示输入原来小明购买的铅笔数量(即:价格为 5 元 / 支的时候购买的铅笔数量);提示语为: "" 请输入小明原来购买的铅笔数量: "" ( 2 )程序会根据输入的数字自动计算按照促销价格最多可以购买多少支铅笔,剩余多少钱; ( 3 )输出结果为:按照促销价格可以购买 XX 支铅笔,还剩余 XX 元. 友情提示: 由于考试平台暂不支持 eval() 命令,同学们可以选用其他命令;当然如果您使用了,只要程序是正确的,我们阅卷时 依然按照正常处理.",,,,,"<p class=""MsoNormal""><span><font face=""宋体"">标准答案:</font></span><span><o:p></o:p></span></p><p class=""MsoNormal""><span><font face=""宋体"">参考程序:</font></span><span><o:p></o:p></span></p><p class=""MsoNormal""><span>n=int(input(""<font face=""宋体"">请输入小明原来购买的铅笔数量:</font><font face=""Calibri"">""))&nbsp;</font></span><span><o:p></o:p></span></p><p class=""MsoNormal""><span>s=n*5+3&nbsp;</span><span><o:p></o:p></span></p><p class=""MsoNormal""><span>a=s//4&nbsp;</span><span><o:p></o:p></span></p><p class=""MsoNormal""><span>b=s%4&nbsp;</span><span><o:p></o:p></span></p><p class=""MsoNormal""><span>print(""<font face=""宋体"">按照促销价格可以购买</font><font face=""Calibri"">"",a,""</font><font face=""宋体"">支铅笔,</font><font face=""Calibri"">"",""</font><font face=""宋体"">还剩余</font><font face=""Calibri"">"",b,""</font><font face=""宋体"">元</font><font face=""Calibri"">"")</font></span></p>","评分标准: ( 1 )有输入语句(提示语和题目要求不一致可以不扣分);( 2 分) ( 2 )有输出语句(有提示语即可,不要求提示语和题目要求完全一致;无提示语扣 1 分);( 2 分) ( 3 )有类型转化语句;( 2 分) ( 4 )有计算语句(无论计算是否正确);( 2 分) ( 5 )程序计算正确,符合题目要求.( 2 分)","9,",,0,0,,0,0
10797,5,4,"龙年到了,我们要给远方的亲人写一封新年贺信,请用 turtle 画出一个信封 ,如下图所示: 要求: ( 1 )画笔粗细为 5 ; ( 2 )画笔隐藏; ( 3 )信封中点在 (0,0) 位置; ( 4 )信封长 400 , 宽 200 . 友情提示: 考试平台暂不支持画笔命名: Pen() 命令,同学们可以选用其他命令; 当然如果使用了 Pen() 命令,只要程序是正确的,阅卷时依然按照正确处理.",,,,,"<p class=""MsoNormal""><span><font face=""宋体"">标准答案:</font></span><span><o:p></o:p></span></p><p class=""MsoNormal""><span><font face=""宋体"">参考程序:</font></span><span><o:p></o:p></span></p><p class=""MsoNormal""><span>import turtle</span><span><br></span><span>turtle.hideturtle()</span><span><br></span><span>turtle.pensize(5)</span><span><br></span><span>turtle.goto(200, 100)</span><span><br></span><span>turtle.goto(-200, 100)</span><span><br></span><span>turtle.goto(0, 0)</span><span><br></span><span>turtle.goto(-200, 100)</span><span><br></span><span>turtle.goto(-200, -100)</span><span><br></span><span>turtle.goto(200, -100)</span><span><br></span><span>turtle.goto(200, 100)</span><span><br></span><span>turtle.done()</span></p>","试题解析: 评分标准: ( 1 )导入海龟库正确;( 1 分) ( 2 )有隐藏海龟命令,无论是开始隐藏还是最后隐藏;( 2 分) ( 3 )画笔粗细为 5 ;( 2 分) ( 4 )信封中点在( 0,0 )位置;( 1 分) ( 5 )有移动坐标命令,无论移动的位置是否正确;( 2 分) ( 6 )信封四个坐标位置计算正确(如果考生使用的方法不是坐标定位,只要最终效果和坐标定位一致也等同于坐标位置正确);( 8 分,每个点各 2 分) ( 7 )绘制的图形符合题意,没有多余的或者少的线条,多一条线或者少一条线扣 1 分,最多扣 4 分.( 4 分 )","9,",,0,0,,0,0
