id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,analyzeVideo,examDots,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
10204,4,1,"运行程序: print(not(5*2+6) > 8+3*3),它的输出结果是?( )",False,True,1,无法确定,B,"首先,根据运算符优先级,首先计算括号内的表达式 5*2+6,得到结果 16. 接下来计算 8+3*3,得到结果 17. 然后,应用逻辑运算符 not,对表达式 16 > 17 的结果取反,即 not(16 > 17),而表达式 16 > 17 运算结果 False,所以 not(16 > 17) 的结果为 True. 最后, print() 函数输出结果为  True .",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-34/8489408873386696704.mp4?sign=9c2dfee3e8d54f04041c0916ce2cb055,"9,",3,0,0,"运算符的优先级,运算符的运算",0,0
10205,4,1,"在 Python中,语句 print(a,b) 的功能是?( )","打印 a, b","输出 (a, b)","输出 a, b","输出 a, b的值",D,"在 Python中,print(a,b) 是用于 将变量 a 和 b 的值输出到标准输出设备(通常是控制台)的函数.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-33/8489408871901913088.mp4?sign=37a6196b2d601e00af86405e97d37f75,"9,",2,0,0,print方法,0,0
10206,4,1,下列哪个表达式最终的结果为整数类型?( ),5.0 % 2,5.0 + 2,5 / 2,5 // 2,D,"( 1)在 Python中,取余运算符(%)的结果的数据类型与被除数的数据类型相 同.所以, A 选项表达式 5.0 % 2 的结果是浮点数. ( 2)B 选项表达式 5.0 + 2,其中一个操作数是浮点数类型,所以结果是浮点数类型. ( 3)C 选项中的表达式 5 / 2,除法运算的结果是浮点数类型. ( 4)D 选项中的表达式 5 // 2,使用双斜杠 // 进行整除运算,结果会被强制转换为整数类型.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-35/8489408877497114624.mp4?sign=33783ab27c6c38207c5176b865a6814a,"9,",2,0,0,运算符的运算,0,0
10207,4,1,"想要安装 Python,已知以下的操作步骤,请问哪些是必须的?( ) ①查看电脑的操作系统 ②找到对应python版本下载 ③下载IDLE ④下载Turtle库",①②③④,①②,①②③,②③④,B,"IDLE和turtle都是python自带不需要额外安装,所以选B",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-35/8489408880525402112.mp4?sign=43c66d023e34c701e235edcd04661132,"9,",3,0,0,编程环境,0,0
10208,4,1,"已知以下指令,想要绘制一个画笔粗细为 5,颜色为红色,半径为50的圆,请问正确的排序方式是?( ) ① turtle.pencolor(""red"") ② import turtle ③ turtle.pensize(5) ④ turtle.circle(50)",①②③④,①③②④,②③①④,③④①②,C,"必须首先导入 turtle库,所以选C",,"9,",2,0,0,turtle库的画笔体系,0,0
10209,5,1,"如图所示,一个填充颜色为黑色,边长为 100的正方形里边嵌套了一个填充颜色为白色, 边长为 50的正方形,请问求图形中黑色部分的面积算式是?( )",(100*2)-(50*2),(100*4)-(50*4),(100**2)-(50**2),100*50,C,"大正方形面积 100**2,小正方形面积是50**2,所以选C",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-37/8489408886997213184.mp4?sign=bfaeb04bb2b34d8550b522ed50b41bc5,"9,",2,0,0,turtle库的画笔体系,0,0
10210,4,1,"如果想要获取用户输入的字符串,下列选项正确的是?( )","input(""请输入一个字符串:"")","int(input(""请输入一个字符串:""))","float(input(""请输入一个字符串:""))","eval(input(""请输入一个字符串:""))",A,"要获取用户输入的字符串,在使用 input()函数获取输入值时,不需要进行类型转 换,直接使用 input()即可.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-37/8489408885030084608.mp4?sign=12371213be03940f6cccb338c74088dd,"9,",2,0,0,input方法,0,0
10211,4,1,"在下列 Python运算符中,下列哪个运算符具有最高的优先级?( )",+,>,*,-,C,"Python中的运算符优先级规则如下: ( 1)括号优先级:括号具有最高的优先级,可以使用括号来改变表达式的计算顺序. ( 2)幂运算符(**):幂运算具有较高的优先级,从右到左进行计算.例如,2 ** 3 ** 2的计算结果是2 ** (3 ** 2),即2的27次方. ( 3)乘法,除法和取模运算符(*,/,//,%):这些运算符具有相同的优先级,从左到右进行计算. ( 4)加法和减法运算符(+,-):这些运算符具有相同的优先级,从左到右进行计算. ( 5)比较运算符(<,>,<=,>=,==,!=):比较运算符具有较低的优先级,从左到右进行计算. ( 6)逻辑运算符(and,or,not):逻辑运算符的优先级较低,从左到右进行计算. 故选 C",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-37/8489408888893038592.mp4?sign=40a3015a48277d3d2d7d0767f825f609,"9,",2,0,0,运算符的优先级,0,0
10213,4,1,"如果 a=145,b=90,c=a>b,那么c的值是?( )",False,90,145,True,D,"根据题目给出的条件,我们有 a = 145和b = 90.接下来,我们需要判断c的值. 条件 ""c = a > b""表示c的值等于判断a是否大于b的结果.如果a大于b,那么c的值为True.否则,c的值为False. 在这个情况下, a是145,b是90.显然,145大于90,因此c的值为True. 所以, c的值是True.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-38/8489408892806324224.mp4?sign=8b30c3af0ef5f016efdcd39129e169cd,"9,",3,0,0,运算符的优先级,0,0
10216,4,1,"执行完下列代码后,坐标的位置是?( ) import turtle turtle.penup()#抬起画笔 turtle.goto(-50,0) turtle.pendown() turtle.forward(100) turtle.right(90) turtle.forward(100) turtle.done()","(0,0)","(-50,0)","(50,-50)","(50,-100)",D,"import turtle # 导入 Turtle 模块. turtle.penup() # 抬起画笔,使其不再绘制轨迹. turtle.goto(-50,0) # 将画笔移动到坐标 (-50,0) 的位置. turtle.pendown() # 放下画笔,开始绘制轨迹. turtle.forward(100) # 向当前方向前进 100 个单位长度. turtle.right(90) # 右转 90 度. turtle.forward(100) # 向当前方向前进 100 个单位长度. turtle.done() # 完成绘制. 根据以上代码,将画布视为一个平面坐标系,则初始点位于 (-50,0) 处.接着,画笔向右移动 100 个单位长度,则新的位置为 (50,0) .然后,画笔右转 90 度,再向前移动 100 个单位长度,则新的位置为 (50,-100) .",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-40/8489408897919180800.mp4?sign=d226f0dedf1553576988c29bf0c15978,"9,",3,0,0,turtle库的画笔体系,0,0
10220,4,1,下列导入 Turtle库的方式正确的是?( ),import(turtrle),Import turtle,import turtle,import turtrle as,C,使用 import turtle语句导入库.,https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-42/8489408909050863616.mp4?sign=fd3d298127bdbdaf91c82dda350ff63b,"9,",3,0,0,turtle库的画笔导入,0,0
10221,4,1,"下列程序中,注释的使用有错误,但是不知道有几处是错误的,请找出来有几处错误?( ) 01  a = float(input('输入第一条边长:'))  #输入第一条边 02  b = float(input('输入第二条边长:'))  #输入第二条边 03  c = float(input('输入第三条边长:'))  #输入第三条边 04  """""" 05  求周长的一半 06  ''' 07  p = (a+b+c)/2",1处错误,2处错误,3处错误,0处错误,A,"多行注释需要成对使用三引号,单行注释不需要使用成对的引号,多行注释可以跨行,无论跨多少行都合适,三引号必须是同样的三引号,不能将三单引号与三双引号混合使用.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-44/8489408915984048128.mp4?sign=531459b517cf155ceeccdbc73d93b324,"9,",2,0,0,注释的特点,0,0
10222,5,1,,7,7.0,z=7,z=7.0,D,"程序代码相对比较简单,把 x , y 的值代入表达式中,将表达式按照运算优先级进行运算,再使用 print() 函数输出变量 z 的值,已知 x=6 , y=7 ,计算后结果为 7.0 ,根据输出格式要求,故输出结果为 z=7.0 ,选项 D 正确.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-44/8489408917439471616.mp4?sign=688324d08d0f72de6c3e24cf6f9532a1,"9,",2,0,0,运算符的运算,0,0
10223,4,1,"在海龟绘图中, turtle具有绝对方向,对应的命令为turtle.setheading(angel),若想要 让小海龟面向屏幕的下方,下列指令使用正确的是?( )",turtle.setheading(-180),turtle.setheading(-90),turtle.setheading(90),turtle.setheading(0),B,"在海龟绘图中,对于 turtle的绝对方向划分中,屏幕下方为270度或-90度, 故正确答案选择 B选项.",,"9,",3,0,0,turtle库的画笔体系,0,0
10228,4,3,"小海龟初始在坐标 (0,0) 的位置,方向朝左,在执行 turtle.goto(100,0) 后, 小海龟会往右移动 100,并且方向朝右.( )",,,,,0,"本题考察的是 turtle 的 goto 语句,注意 goto 语句并不会改 变海龟的朝向.并且,本题目中,海龟的初始方向也不是朝左,而是朝右.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-46/8489408923496046592.mp4?sign=bc4d710cb729f9090834927c7d6fd2d1,"9,",,0,0,,0,0
10230,4,3,"circle(100,steps=4),指的是绘制一个边长是100的正方形.( )",,,,,0,"100是圆半径,而不是边长,同时绘制的是菱形,不是正方形.所以错",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-46/8489408925689667584.mp4?sign=1ee9207193078ea63f96b4a5eaefe74e,"9,",,0,0,,0,0
10232,4,3,"Python语言简洁,易懂,库文件丰富,可以用在很多应用领域.( )",,,,,1,"python语句简洁,易懂,库文件丰富,可以用在很多应用领域,尤其是人工 智能领域.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-47/8489408927883288576.mp4?sign=3aa9abb1cdd91089acc25011ba585eb8,"9,",,0,0,,0,0
10234,4,3,"变量名的大小写是没有区别的, Name与name表示的是同一个变量.( )",,,,,0,"变量的名称是有严格的格式的,区分大小写,且变量名由英文字母,下划线 _或数字组成,并且第一个字符必须是英文字母或下划线,并不能是python中的保留字.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-48/8489408931461029888.mp4?sign=5ccab6205f78ea47f464f9b3cbb80c8d,"9,",,0,0,,0,0
10236,4,3,"执行下列语句,输入 "" 学校 "" ,程序最终输出的 text 结果是 "" 小明同学在学校 "" .( ) text = input("" 小明同学在 "") print(text)",,,,,0,"使用 input()函数获取输入时,只保存输入的内容,不保存提示语中的内 容,故输出变量 text时,结果为""学校"",本题说法错误.",,"9,",,0,0,,0,0
10238,4,3,"在IDLE的交互模式启动后,可以直接编写程序并运行,无需切换到脚本模式.( )",,,,,1,"启动交互模式后,会显示提示符:>>>然后可以直接在交互模式下编写程 序并运行,本题中说法正确",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-50/8489408941690937344.mp4?sign=bfcbbd2bc8fc036dffa74d2d8d533b9c,"9,",,0,0,,0,0
10240,4,3,"Python中的字符串,整型,浮点型三种数据类型之间完全都可以互相转化.( )",,,,,0,"字符串有些不能转化为其他两种,所以错误",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-51/8489408943792283648.mp4?sign=4d41c577ea9a563f78f96650d139d1de,"9,",,0,0,,0,0
10242,4,3,"在 Python程序中,双引号和三引号都是引号,没有用法区别,可以随意替换.( )",,,,,0,"三引号可以跨行使用,双引号不能.故错误",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-51/8489408946459860992.mp4?sign=5969d758eab22835b4726011e09222ba,"9,",,0,0,,0,0
10244,4,3,"print('Hello, World!"")代码段会引发报错.( )",,,,,1,"码中的字符串使用了不匹配的引号,导致语法错误. 要么使用双引号表示字符串,要么使用单引号表示字符串.",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-52/8489408949127438336.mp4?sign=a1d5ed6b095df56d1b0c60c82ef32870,"9,",,0,0,,0,0
10247,4,3,"在Python语言中,变量的定义和赋值是同时进行的,不需要在赋值前定义变量 .( )",,,,,1,"在 Python语言中,变量的定义和赋值是同时进行的,不需要分开使用两条语句",https://minio.liankexue.cn/npsc-common-bucket/default/2024-06-13-09-43-53/8489408952239611904.mp4?sign=2b0b06a18ad988bbb7e5f17d5f0fe445,"9,",,0,0,,0,0
10249,4,4,"编写一个程序,其功能为:从键盘输入任意三位整数,计算这个整数的百位数字,十位数字,个位数字之和,以及它们的平均值,并输出计算结果. 样例如下 : 输入: 123 输出: 6  2.0 友情提示: 由于考试平台暂不支持 eval() 命令,同学们可以选用其他命令;当然如果您使用了, 只要程序是正确的,我们阅卷时依然按照正常处理.",,,,,"<p class=""p""><b><span class=""15""><font face=""宋体"">参考程序:</font></span></b><span><o:p></o:p></span></p><p class=""MsoNormal""><span>num = input(""请输入一个三位整数:"")</span><span><br></span><span>hundreds = int(num) // 100</span><span><br></span><span>tens = int(num) % 100 // 10</span><span><br></span><span>ones = int(num) % 10</span><span><br></span><span>sum = hundreds + tens + ones</span><span><br></span><span>avg = sum / 3</span><span><br></span><span>print(sum, avg)</span></p>","试题解析: 评分标准: ( 1)有输入函数;(1分) ( 2)有数据类型转换语句;(1分) ( 3)数据类型转换全部成功;(1分) ( 4)应用数位分割算法,正确获取百位,十位,个位的数字;(3分,每个1分) ( 5)正确计算百位,十位,个位上的数字之和;(1分) ( 6)正确计算平均值;(1分) ( 7)正确调用 print() 函数,输出结果.(2分)",,"9,",,0,0,,0,0
10250,5,4,"十一国庆节期间,爸爸带着小明到北京天安门广场观看升旗仪式.在庄严的国歌声中,五星红旗冉冉升起,小明看到国旗上的五个五角星,想要用 Python 画一个红五角星,你可以帮帮他吗?( 提示: 五角星的外角为 144 度) 要求: ( 1 )五角星为镂空五角星,如图所示; ( 2 )五角星的每条边的长度为 200 ; ( 3 )画笔颜色为红色; ( 4 )画笔粗细为 5 ; ( 5 )最后将画笔隐藏.",,,,,"<p class=""MsoNormal""><span>标准答案:</span><span><o:p></o:p></span></p><p class=""p""><b><span class=""15""><font face=""宋体"">参考程序:</font></span></b><span><o:p></o:p></span></p><p class=""MsoNormal""><span>import turtle</span><span><br></span><span>t=turtle.Turtle()</span><span><br></span><span>t.pensize(5)</span><span><br></span><span>t.pencolor(""red"")</span><span><br></span><span>t.forward(200)</span><span><br></span><span>t.right(144)</span><span><br></span><span>t.forward(200)</span><span><br></span><span>t.right(144)</span><span><br></span><span>t.forward(200)</span><span><br></span><span>t.right(144)</span><span><br></span><span>t.forward(200)</span><span><br></span><span>t.right(144)</span><span><br></span><span>t.forward(200)</span><span><br></span><span>t.hideturtle()</span></p>","评分标准: ( 1)导入库文件正确;(2分) ( 2)有前进或者绘制线条的命令;(2分) ( 3)转弯命令及角度正确;(每个1分,共计4分) ( 4)有画笔颜色工具;(2分) ( 5)画笔粗细正确;(2分) ( 6)边长符合题意,为200;(2分) ( 7)画笔最后隐藏成功;(2分) ( 8)五角星工整,符合题目要求.(4分)",,"9,",,0,0,,0,0
