id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,weType,isMySubject,answerStatus,compileEnvironment
1940653199094095873,0,1,"有段程序如下: try: age=int(input(""请输入年龄:"")) except ValueError: print(""请输入有效年龄."") else: if age>=18: print(""您是成年人."") else: print(""您是未成年人."") 执行上述程序,下列描述正确的是?( )","若程序执行了try代码块,那么except和else部分不执行","如输入""二十五"",则程序不会提醒""请输入有效年龄.""",当try和except代码块都不执行的时候else中的嵌套分支才会执行,"若输入数据为""18"",那么输出结果为""您是成年人.""",D,"当try语句块正确时,将执行else中的分支嵌套,A,C错误.""二十五""是汉字字符串,不能转换成整数,因此程序会出错从而执行except语句块,B错.故选D.",0,0,0,0
1940653325678190593,0,1,"对数据""7,9,3,2,5""使用选择排序算法,按从小到大的顺序排列,那么第一轮排序的结果为?( )","2,9,3,7,5","2,7,9,3,5","2,9,7,3,5","2,7,9,5,3",A,"选择排序是从序列中找出最小值,移到最左边,本题中最小值为2,第一轮排序会与7交换位置,所以正确答案是选项A.",0,0,0,0
1940653447088885761,0,1,"猜一个 2025 以内的随机数,用计算机解决该问题,最适用的算法是哪个?( )",顺序查找法,枚举算法,二分查找法,二分查找法,C,"考查学生对二分查找的理解.虽然其他方法也能解决这个问题,但效率最高的还是二分查找法.",0,0,0,0
1940653695615422466,0,1,"用冒泡算法对列表 [9, 2, 7, 3, 5, 1] 中的数据进行升序排序,第1轮排序后的结果应该是?( )","[ 2, 7, 3, 5, 1, 9]","[ 2, 9, 7, 3, 5, 1]","[ 2, 7, 9, 3, 5, 1]","[ 2, 7, 3, 9, 5, 1]",A,"冒泡排序的本质,是每一轮将最大的数向右移动,原始列表中最大的数是9,所以第1轮排序后的结果是选项A.",0,0,0,0
1940655117816209410,0,1,"有如下Python程序,运行后将生成?( ) c=['苹果','西瓜','香蕉'] f=open('水果.csv','w') f.write(' '.join(c)+'\n') f.close()",CSV文件,列表,字符串,字典,A,当前程序是将列表c的对象写到csv文件中.,0,0,0,0
1940655445353603074,0,1,"水果表.csv的文件如下图所示,下列Python程序运行结果为?( ) f=open('水果表.csv','r') c=[] for i in f: c.append(i.strip('\n').split(',')) f.close() print(c)","[['苹果', '5', '5.60'], ['西瓜', '6', '6.00'], ['香蕉', '3', '4.50'],]","[['苹果', '5', '5.60'] ['西瓜', '6', '6.00'] ['香蕉', '3', '4.50']]","[['苹果', '5', '5.60']; ['西瓜', '6', '6.00'];['香蕉', '3', '4.50']]","[['苹果', '5', '5.60'], ['西瓜', '6', '6.00'], ['香蕉', '3', '4.50']]",D,"考核从文件中读出二维数据,生成列表.",0,0,0,0
1940656005402238978,0,1,"使用open函数打开一个CSV格式文件,要将整个文件读取到一个列表中,使用以下文件对象的哪个函数?( )",read(),readline(),readlines(),write(),C,readlines()支持将整个文件里的内容读取到一个列表中.,0,0,0,0
1940656411423449090,0,1,"下列Python程序运行后,生成的""姓名.txt"" 文件如下图所示,程序①处的代码应该为?( ) file=open(r""姓名.txt"",'w') file.write('Henry\n'); file. ① ('Leal\nFidel\nHumphrey\n') file.close()",read,readline,readlines,writelines,D,此处填写 write 或 writelines都可以.,0,0,0,0
1940656481936265218,0,1,"n.txt文件有3行数据(回车符在第3行末尾),运行下列程序,会有几行数据?( ) import csv file=open('n.txt','a',newline='') writer=csv.writer(file) writer.writerow(['Rawlins']) #writer.writerows([['Hollis'],['Amy'],['Amour']]) file.close()",3,4,5,6,A,"考核在文件中添加数据. 'a'表示添加数据 newline=''保证添加的数据没有空行 writer.writerow(['Rawlins']) 添加1行数据,添加在了第3行 writer.writerows([['Hollis'],['Amy'],['Amour']]) 表示添加3行数据,但前面加了#,程序注释了,没有执行 所以,答案是3行.",0,0,0,0
1940656533792268290,0,3,"有这样一个Python表达式: ord('a') - ord('A') 这个表达式运行的结果是整数 32 ,请判断结果对吗?( )",,,,,1,"考查学生对ord()函数的理解.ord()函数的返回值为整数,字符 'a' 与 'A' 之间十进制ASCII码值的差,为整数32,所以本题答案是正确的.",0,0,0,0
1940656572046692353,0,3,"在Python中,chr(x) 函数可以将任意整数转换为对应的ASCII字符.( )",,,,,0,"chr(x) 的参数 x 必须是范围在 0 ≤ x ≤ 255 的整数,否则会报错.",0,0,0,0
1940656607945740289,0,3,"在 Python 中,语句float('3.14')运行后的输出结果是'3.14'.( )",,,,,0,"float('3.14')是将字符串'3.14'转换为浮点数,所以输出结果就是浮点数3.14.",0,0,0,0
1940656645385920514,0,3,"len(2025) 会返回整数4,因为2025有4位数字.( )",,,,,0,"len() 函数不能直接用于整数,需先转换为字符串,如 len(str(2025))或者len(""2025"")",0,0,0,0
1940656696044343298,0,3,"在Python中,若 a = [5, 1, 3, 2],执行 a.sort() 后,a 的值是[1,2,3,5].( )",,,,,1,sort()默认升序排序.,0,0,0,0
1940656814399594497,0,3,"当程序发生异常时,一个try模块可以设定多个except模块.( )",,,,,1,"try......except......except......语句可以捕获多个异常,不同的错误情况,选择不同的except语句块执行.",0,0,0,0
1940656900139556865,0,3,"a=[['小明','86','90','92','99','94','95'],['小红','93','97','95','90','86','85'],['小华','89','98','99','94','90','85']] 其中,小明同学的第二门成绩90分,数据类型是数字,对吗?( )",,,,,0,"引号中的内容是字符串,小明同学第二门的成绩90,是字符串.",0,0,0,0
1940657105710784514,0,3,"name.txt的文件如下图所示,以下Python程序运行的结果为 [['Davey'], ['Amya'], ['Edward']].( ) import csv with open(""name.txt"") as file: c=list(csv.reader(file)) print(c)",,,,,1,"打开数据文件,reader(),返回列表类型.",0,0,0,0
1940657146502762497,0,3,"有关文件的读取,readline()可以每次读取文件中的一行内容.使用read()和readlines()都可以读取全部内容,因此它们读取的结果是相同的.( )",,,,,0,"readline()表示每次读取文件中的一行;read()表示每次读取整个文件,且整个文件内容以字符串形式返回,而readlines()表示按行读取整个文件内容,以列表类型返回数据.",0,0,0,0
1940657197561847810,0,3,"在Python编程语言中,'0b10' 表示二进制数10,并且这个数换算为十进制,就是整数2.( )",,,,,1,"本题考查学生对二进制表示方式的理解,同时也考查学生对十进制与二进制相互转换的理解.",0,0,0,0
1940657290763476993,0,4,"碳中和行动 2025年,全球碳中和行动进入关键阶段.某环保机构收集了多个绿色能源项目的效率数据(单位:%),需通过算法对项目效率进行排序,优先推广高效项目. 要求:实现选择排序算法,按效率值(第二列)对项目列表进行降序排序,输出排序后的项目名称和效率值. 已知数据如下: projects = [ [""风电-青海"", 82.5],  [""光伏-宁夏"", 78.3],   [""氢能-广东"", 91.2], [""地热-西藏"", 65.7],   [""潮汐-浙江"", 88.4] ] 结果输出示例: 第1名:氢能-广东(效率91.2%) 第2名:潮汐-浙江(效率88.4%) ... 请补全下列代码中的 ①②③④⑤⑥ 四处. projects = [ [""风电-青海"", 82.5], [""光伏-宁夏"", 78.3], [""氢能-广东"", 91.2], [""地热-西藏"", 65.7], [""潮汐-浙江"", 88.4] ] # 选择排序(降序) for i in range(len(projects)): k = ① for j in range(i + 1, len(projects)): if  projects[j][1] > projects[k][1]:  # 比较效率值 k = ② # 交换位置 projects[i], projects[k] = ③ , ④ # 输出结果 for idx, project in enumerate(projects): print(f""第{ ⑤ }名:{project[0]}(效率{ ⑥ }%)"")",,,,,,"标准答案: 参考程序: projects = [ [""风电-青海"", 82.5], [""光伏-宁夏"", 78.3], [""氢能-广东"", 91.2], [""地热-西藏"", 65.7], [""潮汐-浙江"", 88.4] ] # 选择排序(降序) for i in range(len(projects)): k = i for j in range(i + 1, len(projects)): if projects[j][1] > projects[k][1]: k = j projects[i], projects[k] = projects[k], projects[i] # 输出结果 for idx, project in enumerate(projects): print(f""第{idx+1}名:{project[0]}(效率{project[1]}%)"") 说明: ① i ② j ③ ④ projects[k], projects[i]  解析:将当前最大值交换到未排序部分的起始位置. ⑤idx+1  解析:第一个索引号为0. ⑥project[1]  解析:按格式输出项目名称和效率值. 试题难度:一般 试题解析: 评分标准: (1)i(或等效答案);(2分) (2)j(或等效答案);(4分) (3)projects[k](或等效答案);(2分) (4)projects[i](或等效答案);(2分) (5)idx+1(或等效答案);(3分) (6)project[1](或等效答案).(3分)",0,0,0,0
1940657477567565825,0,4,"学生排序 对某年级的学生按身高及性别进行排序.要求女生在前,男生在后,性别相同的按身高升序排列.所有学生信息的数据格式例如[[""男"",""徐杰"",145],[""女"",""王梓静"",138]......],其中[""男"",""徐杰"",145]表示其中一位学生的信息,实现该问题解决的Python程序如下,请将程序补充完整. """"""将全体学生的身高性别数据存入列表st中,测试列表如下:"""""" st = [[""男"", ""徐杰"", 145], [""女"", ""王梓静"", 138], [""女"", ""李妹"", 135], [""男"", ""张小坤"",148]] ① for i in range(n-1): for j in range(0,        ②        ): if st[j][0]==st[j+1][0] and st[j][2]>        ③        : st[j],st[j+1]=st[j+1],st[j] elif st[j][0]==""男"" and st[j+1][0]==""女"": st[j],st[j+1]=        ④ print(st)",,,,,,"标准答案: 参考程序: """"""将全体学生的身高性别数据存入列表st中,测试列表如下:"""""" st = [[""男"", ""徐杰"", 145], [""女"", ""王梓静"", 138], [""女"", ""李妹"", 135], [""男"", ""张小坤"",148]] n=len(st) for i in range(n-1): for j in range(0,n-i-1): if st[j][0]==st[j+1][0] and st[j][2]>st[j+1][2]: st[j],st[j+1]=st[j+1],st[j] elif st[j][0]==""男"" and st[j+1][0]==""女"": st[j],st[j+1]=st[j+1],st[j] print(st) 试题难度:较难 试题解析: 评分标准: (1)n=len(st)(或等效答案);(2分) (2)n-i-1 或n-i-1,1(或等效答案);(3分) (3)st[j+1][2](或等效答案);(3分) (4)st[j+1],st[j](或等效答案).(2分)",0,0,0,0
1940657607473549314,0,4,"统计购买图书数 如下图,在文件""购买图书.csv""中记录着3个同学多次购买图书的信息(第一列为同学编号,第二列为每次购买图书的数量),输出每个同学购买图书的总数,请你补全代码. import csv with open(""/data/购买图书.csv"") as file: g=list( ① ) c1=0 c2=0 c3=0 for i in range(len(g)): if int(g[i][0])==1: c1=c1+int(g[i][1]) if int(g[i][0])==2: c2=c2+ ② if int(g[i][0])==3: c3=c3+int(g[i][1]) print(c1,c2,c3) 输出: 11 14 5",,,,,,"参考程序: import csv with open(""/data/购买图书.csv"") as file: g=list(csv.reader(file)) c1=0 c2=0 c3=0 for i in range(len(g)): if int(g[i][0])==1: c1=c1+int(g[i][1]) if int(g[i][0])==2: c2=c2+int(g[i][1]) if int(g[i][0])==3: c3=c3+int(g[i][1]) print(c1,c2,c3) 试题难度:容易 试题解析: 评分标准: (1)csv.reader(file) (或等效答案);(2分) (2)int(g[i][1]) (或等效答案).(2分)",0,0,0,0
