id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,weType,isMySubject,answerStatus,compileEnvironment
1872464133134143490,0,1,以下选项无法创建列表的是?( ),ls=list(),ls=['字典';'集合'],"ls=['列表','元组','字符串']",ls=list(range(10)),B,"选项A,用于创建一个空列表,等效于 ls=[] 选项B,无法创建列表,列表元素之间应该用逗号分隔 选项C,直接录入列表元素创建列表 选项D,利用list函数将序列转换为列表 所以选B",0,0,0,0
1872464612607827969,0,1,"以下程序段执行的结果是?( ) ls=[1,2] ls.append([1,2,3]) ls.extend([1,2]) ls.remove(2) print(ls)","[1,[1,2,3],[1,2]]","[1, [1, 2, 3], 1, 2]","[1,[1,3],[1]]","[1,1,3,1]",B,"ls.append([1,2,3])将列表[1,2,3]作为一个元素添加到ls中,添加后列表ls为[1,2,[1,2,3]] ls.extend([1,2])在ls列表末尾追加列表[1,2]中的所有元素,所以该语句执行后ls为[1,2,[1,2,3],1,2] ls.remove(2)删除ls列表中第一个出现的元素2,所以该语句执行后ls为[1, [1, 2, 3], 1, 2] 所以程序段的执行结果是[1, [1, 2, 3], 1, 2].",0,0,0,0
1872464738862944258,0,1,"阿宝的期末考试成绩保存在字典score中,score={'数学':100,'语文':95,'英语':98,'科学':97,'美术':98,'音乐':99},以下删除字典中音乐成绩的语句正确的是?( )",del score[音乐],del score['音乐'],score.pop(音乐),score.remove('音乐'),B,删除字典中键值对的方法是用del 字典名[键名],0,0,0,0
1872464847228805122,0,1,下面哪个选项是一个格式正确的元组?( ),"[1, 2, 3]","{1, 2, 3}","(1, 2, 3)","(1,2,3)",C,"元组是用小括号括起来的,元素之间是逗号,因此选 C.",0,0,0,0
1872465607148228610,0,1,"运行这段代码,终端区会打印什么内容?( ) for i in range(10): if i > 5: print(i, end='')",12345678910,0123456789,56789,6789,D,"range(10) 的范围是 0-9,条件判断大于 5 才成立,因此会打印 6789.",0,0,0,0
1872465671237193730,0,1,"将古诗<春晓>的句子存入列表如下: lst=['春眠不觉晓,', '处处闻啼鸟,', '夜来风雨声,', '花落知多少.'] 请问len(lst[3])的值是?( )",4,5,6,7,C,"len()函数的作用是求出括号内的对象的长度. 本题中lst[3]表示列表中下标为3的元素,即 '花落知多少.' ,中文长度为5,标点符号'.'长度为1,总长度为6.",0,0,0,0
1872466271627026433,0,1,"小明所在的小组有5位同学,他们本次的数学考试成绩存储在一个元组中,如下所示: tuple = (88, 93, 76, 85, 90) 这时小明需要在终端中打印元组中的第二个分数,他应该在终端输入如下哪个代码呢?( )",print(tuple[1]),print(tuple.get(1)),print(tuple[2]),print(tuple.index(1)),A,"在Python中,可以通过索引来访问元组中的元素.由于索引是从0开始的,所以元组中的第二个元素的索引是1. 选项A正确地返回了元组中的第二个元素.选项B是错误的,因为元组没有get方法.选项C返回的是元组中的第三个元素.选项D返回的是元组中第一个值为1的元素的索引,而不是第二个元素.",0,0,0,0
1872466466766639106,0,1,"小明帮妈妈浇花,如果花盆里土的湿度低于30%,就需要浇水.如果用变量moisture表示土壤湿度,以下哪个Python语句可以模拟需要浇水的情况?( )",if moisture>30%: print('浇水'),if moisture<30%: print('浇水'),if moisture>30%: print('不浇水'),if moisture<30%: print('不浇水'),B,"Python语言中if语句的正确格式是 if 条件: 语句,其中""语句""部分是要执行的代码.选项A和D的逻辑与题目描述相反,选项C描述的是不需要浇水的情况,并且第二行没有缩进.因此,正确答案是B.",0,0,0,0
1872468734631387137,0,1,小明想要通过Python来判断一个数字num是否是偶数.以下哪个语句是正确的?( ),"if num%2 != 0: print(""是偶数"")","if num%2 == 0: print(""是偶数"")","if num/2 == 0: print(""是偶数"")","if num/2 != 0: print(""是偶数"")",B,"在Python中,判断一个数字是否是偶数,通常使用取模运算符(%).如果一个数字除以2的余数是0,那么它就是偶数.因此,正确的语句是if num%2 == 0: print(""是偶数"").",0,0,0,0
1872470023082004481,0,1,"以下各项中,哪一个表示的是列表?( )",[1; 3; 3; 2; 4],"{1, 3, 3, 2, 4}","[1, 3, 3, 2, 4]","(1, 3, 3, 2, 4)",C,"Python中,用方括号[ ]表示列表,逗号分隔其中的元素,本题正确答案选C.",0,0,0,0
1872470206343729154,0,1,"以下关于字符串的描述,不正确的是?( )",字符串定义后不可修改,"字符串可以用""*""操作符进行连接",字符串是用单引号或双引号括起来的一串字符,内置函数len()返回字符串的长度,B,"字符串是由""+""操作符连接,由""*""进行重复,故此题正确答案是选项B.",0,0,0,0
1872470339183353857,0,1,"已知dict = {'语文':59,'数学':99,'英语':97},执行以下哪个命令可以将其修改为{'语文':95,'数学':99,'英语':97}?( )",dict[0] = 95,dict[1] = 95,dict[语文] = 95,dict['语文'] = 95,D,"序列是以连续的整数为索引,而字典是以关键字为索引,关键字需是任意不可变类型,通常用字符串或数值,选项A,B是序列模式的索引,选项C的索引是变量,故本题正确答案是选项D.",0,0,0,0
1872470506086912002,0,1,"创建元组时,使用下列哪个符号?( )",(),[],<>,'',A,"创建元组时使用( ),创建列表使用[ ],创建字符串使用' ' 或者 "" "".所以本题正确答案为A.",0,0,0,0
1872470624977211393,0,1,"运行以下程序,打印的最后一个数字是?( ) i = 0 while i < 100: print(i) i = i + 1",98,99,100,101,B,"当i小于100时,才会执行循环体中的语句,99是大于100的最大的数字,因此打印的最后一个数字是99.所以本题正确答案为B.",0,0,0,0
1872470737495052290,0,1,"在Python中,下列关于 range() 说法正确的是?( )",range()是列表,"range()是函数,能生成一系列英文字母","range()是函数,能生成一系列数字","range()是函数,能生成一系列汉字",C,"range()函数是Python中一个强大而灵活的内置函数,它主要用于生成一个整数序列.",0,0,0,0
1872470785145098242,0,3,"for,while和if均可以相互嵌套使用.( )",,,,,1,"for里面可以嵌套while,if,while中也可以嵌套if和for,if语句中同样可以嵌套for和while.",0,0,0,0
1872470834932928513,0,3,"str1='加油!'+'加油!'+'加油!' str2='加油!'*3 str1和str2是一样的,都是""加油!加油!加油!""( )",,,,,1,"字符串的*运算,表示字符串的复制 字符串的+运算,表示字符串的连接 str1='加油!'+'加油!'+'加油!' str2='加油!'*3 str1和str2的结果都是:'加油!加油!加油!'",0,0,0,0
1872470884232777729,0,3,"在编写一个需要用户输入数字(数字为整数)并判断其奇偶性的程序时,可以使用input()函数获取用户输入,并使用int()函数将输入转换为整数类型.( )",,,,,1,"正确.在Python中,input()函数用于获取用户输入的字符串类型的数据,而int()函数可以将字符串转换为整数类型(前提是字符串的内容可以表示为一个整数).因此,在编写需要判断用户输入数字奇偶性的程序时,可以先使用input()函数获取输入,然后使用int()函数进行类型转换.",0,0,0,0
1872470924339093506,0,3,"执行代码print('今年是%d年,农历%s年.'%(2024,'甲辰')),得到的输出结果为""今年是2024年,农历甲辰年."".( )",,,,,1,"考察字符串的格式化输出,%d表示该位置为数值,%s表示该部分为字符串,最后的%用于分隔字符串与值.",0,0,0,0
1872471429144551425,0,3,可以使用index(x)方法获取所有值为x的元素的索引.( ),,,,,0,可以使用index(x)方法获取第一个值为x的元素的索引.,0,0,0,0
1872471614784446466,0,3,break语句可以跳出所有循环.( ),,,,,0,break语句可以跳出break语句所在的这层循环.,0,0,0,0
1872471671944421377,0,3,"在if...else...语句中,当if语句不执行时,会执行else语句.( )",,,,,1,"在if...else...语句中,当if语句不执行时,会执行else语句.",0,0,0,0
1872471715829043201,0,3,"del语句可以删除整个列表,clear()方法可以清除列表中所有的元素.( )",,,,,1,"在Python的列表操作中,del语句可以删除整个列表,clear()方法可以清除列表中所有的元素.",0,0,0,0
1872471754991259649,0,3,字典(dictionary)和列表(list)的共同点是都可以通过下标访问内容.( ),,,,,0,"考察字典的概念,字典存储的是键值对,只能通过键值访问.",0,0,0,0
1872473496936423426,0,3,"在Python中,元组是无序不重复的.( )",,,,,0,"元组是由一系列按特定顺序排列的元素组成,元素可以重复.",0,0,0,0
1872473725299118081,0,4,"马铃薯也叫土豆,是一种常见的根茎类蔬菜,每个土豆根据重量可以分为以下四个等级: A类(大土豆)    重量>=50克 B类 (中土豆)  50克>重量>=30克 C类(小土豆) 30克>重量>=20克 D类(微小土豆)重量<20克 不同类别市场批发价格也不同: A类:1.5元/500克 B类:1.2元/500克 C类:1元/500克 D类:0.7元/500克 阿宝下乡研学期间发现土豆的分类和分拣通常由人工观察,进行大致分类.阿宝想,是否可以做一个自动分拣土豆机,根据土豆的重量结合机械手臂进行自动分拣. 你可以帮助阿宝编写这个程序吗?该程序需要实现以下功能: (1)录入每个土豆的重量(用来模拟,称重后的读数);假定输入数据是合理范围(都是大于等于0的数字,为了便于计算,要求输入的数据都是整数) (2)当录入0时,程序停止运行,并打印所有土豆售出后的销售额;(提醒大家,土豆的售价是以500克为单位,每个土豆的价格需要进行换算,换算公式为:每个土豆价格=每个土豆的重量*批发价/500) (3)销售金额,最终结果保留2位小数 [输入样例] 80 50 90 70 40 30 20 10 20 60 78 65 0 [输入样例] 销售额是:1.74元 友情提示: 由于考试平台暂不支持eval()命令,同学们可以选用其他命令;当然如果您使用了,只要程序是正确的,我们阅卷时依然按照正常处理.",,,,,,"参考程序: A=[] #>50g B=[] #30-50g C=[] #20-30 D=[] #<20 while True: weight=int(input()) if weight==0: break if weight>=50: A.append(weight) elif weight>=30: B.append(weight) elif weight>=20: C.append(weight) else: D.append(weight) #一斤:500g total=sum(A)*1.5/500+sum(B)*1.2/500+sum(C)*1/500+sum(D)*0.7/500 print('销售额是:{:.2f}元'.format(total)) 试题解析: 评分标准: (1)有输入语句;(2分) (2)有循环语句,当录入0时,循环可以终止;(3分) (3)条件判断语句书写正确;(3分) (4)可以正确的对每类土豆重量求和;(2分) (5)可以正确计算销售额;(3分) (6)输出提示语正确,保留两位小数格式正确.(2分)",0,0,0,0
1872473835475476481,0,4,"小龙同学有个神奇的优势:只要单词中的字母没有任何重复,他就能过目不忘.如果有重复,他则需要专门记忆.请写一段程序,输入一个单词,如果小龙能过目不忘(即:单词中没有重复的字母)则输出""yes"",否则(即:单词中有重复的字母)输出""no"". 样例输入1: boy 样例输出1: yes 样例输入2: test 样例输出2: no 友情提示: 由于考试平台暂不支持eval()命令,同学们可以选用其他命令;当然如果您使用了,只要程序是正确的,我们阅卷时依然按照正常处理.",,,,,,参考程序: word = input('请输入一个单词:') list1 = list(word) flag = 1 for i in list1: if word.count(i)>1: flag = 0 if flag: print('yes') else: print('no') 试题难度:一般 (1)有输入语句;(2分) (2)对输入的词语有遍历处理;(2分) (3)有识别是否有重复字符的程序;(4分) (4)有条件语句;(2分) (5)有输出语句;(2分) (6)程序运行正确.(3分),0,0,0,0
