id,version,type,title,optionA,optionB,optionC,optionD,answer,analyzeContent,difficultyLevel,weType,isMySubject,knowledgeNames,answerStatus,compileEnvironment
1816015025798291458,0,1,"阶乘是一个数与所有小于它的正整数的乘积.例如,5的阶乘(写作5!)是5 * 4 * 3 * 2 * 1 = 120.以下是用递归方法编写求阶乘的代码,横线处填写的代码是?( ) def fun(n): if n == 1: return 1 else: return ________ print(fun(5))",n * (n-1),fun(n-1),n * fun(n-1),fun(n*(n-1)),C,"用递归算法实现,阶乘的边界条件是n=1,横线上填写向递归边界条件发展的递归公式n * fun(n-1).",4,0,0,递归与递推,0,0
1816015143580913665,0,1,"运行如下代码,请输出运算结果?( ) def fun(lst): if len(lst) == 0: return 0 return lst[0] + fun(lst[1:]) x = [1,2,3,4,5] print(fun(x))",9,6,10,15,D,"fun()函数是一个递归函数,它接受一个整数列表作为参数.如果列表为空(基准情况),它返回0.否则,它返回列表的第一个元素加上剩余元素(即列表的剩余部分)的总和.",4,0,0,递归与递推,0,0
1816015379222929410,0,1,"以下是编写一个Python函数,使用递归方法实现字符串的反转,请在横线处填写正确的代码?( ) def fun(s): if len(s) <= 1: return s else: return _____________ x = ""abcde"" print(fun(x))",fun(s[1:]),fun(s[1:]) + s[0],fun(s[:1]) + s[0],fun(s[:1]),B,"fun()函数是一个递归函数,它接受一个字符串s作为输入.如果字符串的长度小于或等于1,函数返回字符串本身,否则它将字符串的第一个字符移动到末尾,并递归地反转剩余的字符串.通过不断减小字符串的长度并组合每一步的结果,递归最终得到反转后的字符串.",5,0,0,递归与递推,0,0
1816015546659545090,0,1,"运行以下代码,请输出运算结果?( ) def fun(s, n): if n == 0: return """" else: return s + fun(s, n-1) s = ""abc"" n = 3 print(fun(s, n))",abc,abab,abcabcabc,ababab,C,"这个函数使用递归来实现字符串的重复拼接.如果n为0,函数返回空字符串,这是递归的基准情况.否则,函数将字符串s与s重复n-1次的结果拼接起来,并返回这个拼接后的字符串.",4,0,0,递归与递推,0,0
1816015720536788994,0,1,"运行以下代码,请输出运算结果?( ) x = 1 while x < 100: if  x % 3 != 0: print(x, end=',') elif x // 10: break x += 2 print(x)",1,"3,9,11","3,6,9,10","1,5,7,11,13,15",D,"根据while循环计算,这里python非零为真,所以x=15就停止循环.",4,0,0,算法优化,0,0
1816015954936909825,0,1,"下面图形每一行从字母A开始,以ABC方式重复.行数为输入的整数.请在python代码段横线处填入合适的代码?( ) A AB ABC ABCA ABCAB ABCABC ABCABCA n = int(input()) for i in range(1, n+1): for j in range(0, i): print(""%s"" % _____________, end='') print()",'A' + j / 3,chr(ord('A') + j % 3),'A' + j % 3,chr(ord('A') + j / 3),B,"ord函数是ASCII码转int,chr函数是int转ASCII码,题目中是ABC循环,所以这里是j % 3.",5,0,0,"函数使用,算法优化",0,0
1816016057131507713,0,1,以下哪种情况下适合使用自定义函数?( ),体现自己独特思路的功能块,代码量大的功能块,会多次用到的功能块,逻辑复杂的功能块,C,设计函数的主要目的是实现代码复用.,4,0,0,自定义函数的创建与调用,0,0
1816016170721267713,0,1,"调用自定义函数时,以下哪种情况下程序运行时一定会出错?( )",对实参以关键字赋值的方式去调用函数,对形参赋以默认值,给赋予了默认值的形参传入新值,传入的实参个数比形参个数少,D,传入的实参个数比形参个数少时程序运行时会出错.,4,0,0,"函数使用,自定义函数的创建与调用",0,0
1816016299050573826,0,1,"以下程序语句中,存在语法错误的是?( )",result= lambda a:a+b,"lambda a,b,c:a**0.5","lambda a,b=10:a*b","dlt=lambda a,b,c:b**0.5-4*a*c",A,"A.如果b没有在之前的代码中定义,则出错.B.定义了一个 lambda 函数,该函数接受三个参数a,b和c,但实际上只使用了a并计算其平方根(a**0.5).C.lambda 表达式定义了一个匿名函数,它接受两个参数a和b,其中b有一个默认值10.D.lambda 表达式定义了一个匿名函数,它接受三个参数a,b和c,并返回b的平方根减去4乘以a和c的乘积的结果.",5,0,0,"函数使用,匿名函数",0,0
1816016417600753665,0,1,"对于如下自定义的函数: def myfunc(a,b,c) return a+b+c 以下调用该函数的语句中,能正确执行的是?( )","myfunc(1,2)","myfunc(a=3,2,1)","myfunc(3,b=2,1)","myfunc(3,2,c=1)",D,可变参数必须在不可变参数的后面.,4,0,0,自定义函数的创建与调用,0,0
1816016534454063105,0,1,"对于以下自定义函数及程序,运行后的结果是?( ) def prts( str ): print (str) return str s=""Py"" prts(prts(s))",出错,Py,Py及None,Py及Py,D,"自定义函数有返回值,再次调用不会出错.",4,0,0,自定义函数的创建与调用,0,0
1816016635920293890,0,1,"使用*args和**kwargs形参来定义函数时,正确的说法是?( )","使用*args代表列表,使用**kwargs代表元组",可以在调用函数时传入多个实参,不再允许设置位置参数或关键字参数,"可以设置位置参数或关键字参数,但必须放置在*args参数前面",B,"使用*args代表列表,使用**kwargs代表字典,可以在调用函数时传入多个实参.",5,0,0,函数使用,0,0
1816016750848036866,0,1,"下列关于函数return语句的说法,正确的是?( )","return语句中返回值的数据类型可以是字符串,也可以是列表",一个函数中只能有一个return语句,return语句中不能有表达式,return只能返回一个值,A,"return语句中返回值的数据类型可以是字符串,也可以是列表.",3,0,0,函数使用,0,0
1816019011049410561,0,1,"用Python绘制y=x**2+6*x+2的函数图像,需要用到的模块是?( )",plot,pygame,matplotlib,turtle,C,"matplotlib库提供了灵活的绘图工具和丰富的绘图选项,支持与NumPy和Pandas等科学计算库结合使用,能够绘制出具有高质量的图像.",5,0,0,"第三方库(模块)的获取,安装与调用",0,0
1816019182771163137,0,1,"陈明同学利用Python语言编写了一段""根据出生年月判断生肖属相""的程序,调试运行时,程序没有报错且顺利运行,但未能正确输出对应属相,造成这个结果的原因可能是?( )",程序语句语法错误,"程序复杂度高,算法效率低",Python的环境配置不对,求解算法的逻辑错误,D,"如果语句语法错误,程序运行会报错;输出结果是否正确,取决于算法逻辑是否正确,跟程序复杂度和算法效率没有关联.",5,0,0,函数的相关概念,0,0
1816019355133333505,0,3,"如果在函数内访问其作用域内不存在的变量,程序一定会报错.( )","若在自身作用域中没有找到,则会到函数的上一级作用域,继续寻找,直到全局作用域,如还没有才会报错.",,,,0,"若在自身作用域中没有找到,则会到函数的上一级作用域,继续寻找,直到全局作用域,如还没有才会报错.",4,0,0,函数的相关概念,0,0
1816019453991636994,0,3,时间复杂度最小的是常数阶O(1).( ),,,,,1,时间复杂度.,5,0,0,时间复杂度与空间复杂度,0,0
1816020057560371201,0,3,"某同学参加猜幸运数(幸运数范围是1-100之间)游戏:先猜50,主持人说偏大;然后猜25,主持人说偏小;然后又猜37......通过这种策略,该同学很快猜出幸运数,这体现了分治思想.( )",,,,,1,分治思想.,4,0,0,分治算法,0,0
1816020119560572929,0,3,"某个问题既能用递归算法求解,又能用递推算法求解,则使用递归算法求解更容易,效率也高得多.( )",,,,,0,"递归会引起一系列函数调用,有不少重复计算,其执行的效率也较低.",4,0,0,递归与递推,0,0
1816020179582885889,0,3,"执行如下代码,输出结果是95.( ) n = 100 while n > 0: if n % 2: break elif n % 3 == 0: n -= 5 else: n -= 20 print(n)",,,,,0,"python中非零为真,求解结果为55.",4,0,0,函数使用,0,0
1816020295890935809,0,3,"自定义函数中可以不使用return语句,但匿名函数中要通过return语句返回运算结果.( )",,,,,0,考查自定义函数与匿名函数的使用.,4,0,0,"自定义函数的创建与调用,匿名函数",0,0
1816020346767462401,0,3,"如果允许形参设置默认值,则函数定义时要先列出没有默认值的形参,再列出有默认值的形参.( )",,,,,1,"函数定义时要先列出没有默认值的形参,再列出有默认值的形参.",4,0,0,形参和实参,0,0
1816020436215570434,0,3,"Numpy是Python的一个第三方库,是一个科学计算库,提供各种数学运算和科学计算的方法.( )",,,,,1,"Numpy是第三方库,它是Python中的一个科学计算库,包含很多数学函数,并支持处理大型矩阵,矢量运算,线性代数等.",3,0,0,"第三方库(模块)的获取,安装与调用",0,0
1816020496632696833,0,3,"变量作用域的使用可提高程序逻辑的局部性,增强程序的可靠性,减少名字冲突,有效提高程序运行效率.( )",,,,,0,"变量作用域的使用,不能有效的提高程序运行效率.",3,0,0,函数的相关概念,0,0
1816023343319404546,0,3,"编程时,必须把实现复杂功能的代码封装起来,设计成函数.( )",,,,,0,设计函数的主要目的是实现代码复用.,3,0,0,函数的相关概念,0,0
1816023473399177218,0,4,"计算问题 从1到n的数字(包含n),分别计算出能被k整除的数字之和与不能被k整除的数字之和,并输出它们差的绝对值,完成下列程序. n=int(input(""n="")) k=int(input(""k="")) s1,s2=0,0 for i in range(1, ① ): if( ② ==0): s1= ③ else: s2= ④ print( ⑤ )",,,,,,"参考程序: n=int(input(""n="")) k=int(input(""k="")) s1,s2=0,0 for i in range(1, n+1 ): if( i%k ==0): s1= s1+i else: s2= s2+i print( abs(s1-s2) ) 评分标准: (1)n+1 或等效答案;(2分) (2)i%k 或等效答案;(2分) (3)s1+i 或等效答案;(2分) (4)s2+i 或等效答案;(2分) (5)abs(s1-s2) 或等效答案.(2分)",,0,0,,0,0
1816023546806063106,0,4,"劳动实践基地 育才学校的劳动实践基地是一个巨大的矩形,参与劳动实践的同学们每次只能种一个正方形地块,每种一个正方形时所花的体力值是正方形的周长,本学期种过的地不可以再种,同学们想使用最少的体力值去种完这块田地,请帮助计算花费最小的体力值. 输入格式 两个正整数 x,y,表示田地的长和宽. 输出格式 输出最小体力值. 输入样例1 1 10 输出样例1 40 输入样例2 2 2 输出样例2 8 def solve(x, y): if x == y: return ① if x > y: a, b = x, y else: a, b = ② if ③ : return 4 * a else: return 4 * a + solve( ④ , b) n, m = map(int, input().split()) print(solve(n, m))",,,,,,"参考程序: def solve(x, y): if x == y: return x * 4 if x > y: a, b = x, y else: a, b = y, x if a % b == 0 : return 4 * a else: return 4 * a + solve( a - b * (a//b) , b) n, m = map(int, input().split()) print(solve(n, m)) 评分标准: (1)x * 4 或等效答案;(2分) (2)y, x 或等效答案;(2分) (3)a % b == 0 或等效答案;(2分) (4)a - b * (a//b) 或等效答案.(2分))",,0,0,,0,0
1816023618811502593,0,4,"约瑟夫环 2024年春节联欢晚会上,刘谦表演了一个纸牌魔术,深受观众欢迎.这个魔术的内容其实是一个经典的约瑟夫环问题,相当于n张牌形成一个环,依次循环报数,每次报到m的那一张牌扔掉,直到剩下最后一张牌.小智编写了以下程序来模拟8张牌的淘汰过程,请补充完成该程序. def Josephus(num,gap): location_list = [a for a in range(1,num+1)] if num ==   1 : ① else: index = 0 for i in ② : index = (index + gap - 1 )% ③ print(""本次淘汰的牌为:"",location_list[index]) del location_list[index] print( ""最后剩下的牌为:"",location_list[ ④ ]) Josephus(8,2)",,,,,,"参考程序: def Josephus(num,gap): location_list = [a for a in range(1,num+1)] if num ==   1 : return else: index = 0 for i in range(num-1) : index = (index + gap - 1 )% len(location_list) print(""本次淘汰的牌为:"",location_list[index]) del location_list[index] print( ""最后剩下的牌为:"",location_list[ 0 ]) Josephus(8,2) 评分标准: (1)return 或等效答案;(2分) (2)range(num-1) 或等效答案;(4分) (3)len(location_list) 或等效答案;(4分) (4)0 或等效答案.(2分)",,0,0,,0,0
